time;GEN8P;GEN8Q;GEN8W;GEN8VMPU;GEN8IF;GEN8EF;GEN8TM;GEN9P;GEN9Q;GEN9W;GEN9VMPU;GEN9IF;GEN9EF;GEN9TM;GEN10P;GEN10Q;GEN10W;GEN10VMPU;GEN10IF;GEN10EF;GEN10TM;GEN11P;GEN11Q;GEN11W;GEN11VMPU;GEN11IF;GEN11EF;GEN11TM;GEN12P;GEN12Q;GEN12W;GEN12VMPU;GEN12IF;GEN12EF;GEN12TM;MTR3P;MTR3Q;MTR4P;MTR4Q;MTR10P;MTR10Q;MTR3W;MTR4W;MTR10W;LINE1P;LINE1Q;LINE2P;LINE2Q;LINE3P;LINE3Q;LINE4P;LINE4Q;LINE5P;LINE5Q;LINE6P;LINE6Q;LINE7P;LINE7Q;LINE8P;LINE8Q;LINE9P;LINE9Q;LINE10P;LINE10Q;LINE11P;LINE11Q;LINE12P;LINE12Q;FREQ2;FREQ5;FREQ10;ANGLE1_2;ANGLE2_3;ANGLE2_5;ANGLE2_7;ANGLE3_4;ANGLE4_5;ANGLE5_6;ANGLE5_7;ANGLE8_1;ANGLE9_1;ANGLE10_2;ANGLE11_6;ANGLE12_7;GEN10ANGLE;S1) BUS1UA;S1) BUS1UB;S1) BUS1UC;S1) BUS2UA;S1) BUS2UB;S1) BUS2UC;S1) BUS3UA;S1) BUS3UB;S1) BUS3UC;S1) BUS4UA;S1) BUS4UB;S1) BUS4UC;S1) BUS5UA;S1) BUS5UB;S1) BUS5UC;S1) BUS6UA;S1) BUS6UB;S1) BUS6UC;S1) BUS7UA;S1) BUS7UB;S1) BUS7UC;S1) BUS10UA;S1) BUS10UB;S1) BUS10UC;S1) BUS100UA;S1) BUS100UB;S1) BUS100UC;LINE1IA;LINE1IB;LINE1IC;LINE2IA;LINE2IB;LINE2IC;LINE3IA;LINE3IB;LINE3IC;LINE4IA;LINE4IB;LINE4IC;LINE5IA;LINE5IB;LINE5IC;LINE6IA;LINE6IB;LINE6IC;LINE7IA;LINE7IB;LINE7IC;LINE8IA;LINE8IB;LINE8IC;LINE9IA;LINE9IB;LINE9IC;LINE10IA;LINE10IB;LINE10IC;LINE11IA;LINE11IB;LINE11IC;LINE12IA;LINE12IB;LINE12IC;DI1;DI2;DI3;DI4;DI5;DI6;DI7;DI8;DI9;DI10;DI11;DI12;DI13;DI14;DOUT1;
0;13700.883941;-134.334127;314.050995;0.999992;1.839008;1.838949;0.835852;1989.660604;-72.990800;314.052638;0.999993;2.360228;2.360000;0.850002;298.479914;-5.893969;314.052555;0.999983;1.809681;1.809494;0.850002;11462.587808;80.595495;314.053934;0.999984;1.646038;1.646226;0.700029;701.916096;-65.342026;314.052448;0.999997;1.039233;1.039236;0.600802;0.000000;0.000000;0.000000;0.000000;19.095532;6.908826;0.002428;0.002428;0.891230;32.393179;-44.326500;356.913017;-166.149000;198.832936;-76.817860;198.028844;-53.828137;196.280706;19.535139;198.689111;-76.643400;265.809697;-41.261109;-0.000065;-0.000543;190.897990;-22.423162;472.826465;-53.598638;450.809209;0.151481;600.522620;37.447819;49.968063;49.982781;49.981222;0.988851;3.096911;15.565255;13.581292;8.553603;3.911173;9.387031;-1.980439;-29.735784;-29.519406;35.170876;-31.367979;-27.016715;56.682881;-194.869071;-64.754483;259.621554;-199.117202;-60.538372;259.639709;-211.751748;-46.760560;258.505158;-236.702529;-5.885056;242.574688;-241.549960;12.769268;228.773743;-255.997751;56.303846;199.679979;-237.154226;3.381049;233.763239;-3.383508;-12.144035;15.526438;-3.433746;-1.030450;4.463966;0.016059;-0.124538;0.108416;-0.366136;-0.597822;0.961823;-0.236738;-0.285633;0.522268;-0.291453;-0.202599;0.493960;0.485491;-0.157294;-0.328323;-0.236719;-0.285131;0.521801;-0.417267;-0.234418;0.651526;-0.000201;-0.000058;0.000259;-0.385647;-0.041791;0.427406;-0.957472;-0.098731;1.056168;-0.990474;0.069671;0.920727;-1.359998;0.183951;1.175972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
10000;13700.883941;-134.334127;314.050995;0.999992;1.838958;1.838949;0.835852;1989.660604;-72.990800;314.052638;0.999993;2.360228;2.360000;0.850002;298.503036;-5.917599;314.052555;0.999999;1.809681;1.809727;0.850002;11462.587808;80.595495;314.053934;0.999984;1.646038;1.646447;0.700029;701.916096;-65.342026;314.052448;0.999997;1.039233;1.039236;0.600802;0.000000;0.000000;0.000000;0.000000;19.095532;6.908826;0.002428;0.002428;0.891230;32.401011;-44.326500;356.913017;-166.149000;198.832936;-76.817860;198.028844;-53.828137;196.280706;19.541982;198.686077;-76.642230;265.809697;-41.261109;-0.000065;-0.000543;190.897990;-22.426141;472.826465;-53.598638;450.809209;0.151481;600.497352;37.447819;49.968063;49.982781;49.981222;0.988851;3.096911;15.565255;13.581292;8.553603;3.911173;9.387031;-1.980439;-29.735784;-29.519406;35.170876;-31.367979;-27.016715;56.682881;195.055782;64.477007;-259.547740;199.300004;60.249202;-259.562843;211.924559;46.473735;-258.417399;236.849072;5.598919;-242.449844;241.674320;-13.062197;-228.628939;256.077682;-56.588137;-199.500336;237.284747;-3.665411;-233.632470;3.399117;12.132369;-15.532229;3.436849;1.025710;-4.462743;-0.015866;0.124426;-0.108566;0.365612;0.595748;-0.962559;0.237168;0.285123;-0.522325;0.291746;0.202080;-0.493946;-0.485704;0.157716;0.327899;0.237168;0.284629;-0.521834;0.417713;0.233583;-0.651447;0.000201;0.000057;-0.000259;0.385894;0.041282;-0.427228;0.958121;0.097459;-1.055723;0.990938;-0.070852;-0.920190;1.360508;-0.185529;-1.175158;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
20000;13700.883941;-134.334127;314.050995;0.999992;1.838958;1.838949;0.835852;1989.660604;-72.990800;314.052638;0.999993;2.360228;2.360000;0.850002;298.479914;-5.893969;314.052555;0.999983;1.809681;1.809416;0.850002;11462.587808;80.595495;314.053934;0.999984;1.646038;1.646447;0.700029;701.916096;-65.342026;314.052448;0.999997;1.039233;1.039236;0.600802;0.000000;0.000000;0.000000;0.000000;19.095532;6.908826;0.002428;0.002428;0.891230;32.393179;-44.326500;356.913017;-166.149000;198.832936;-76.817860;198.028844;-53.828137;196.280706;19.535139;198.689111;-76.643400;265.809697;-41.261109;-0.000065;-0.000543;190.897990;-22.423162;472.826465;-53.598638;450.809209;0.151481;600.522620;37.447819;49.968063;49.982781;49.981222;0.988851;3.096911;15.565255;13.581292;8.553603;3.911173;9.387031;-1.980439;-29.735784;-29.519406;35.170876;-31.367979;-27.016715;56.682881;-195.257563;-64.211421;259.466151;-199.503748;-59.989065;259.476960;-212.119037;-46.198798;258.305134;-236.998948;-5.308799;242.306745;-241.810360;13.334223;228.468552;-256.167862;56.847331;199.306525;-237.434959;3.943360;233.481765;-3.416399;-12.121236;15.536904;-3.440307;-1.021075;4.461113;0.015715;-0.124429;0.108580;-0.367362;-0.595511;0.961823;-0.237667;-0.284697;0.522268;-0.292246;-0.201641;0.493801;0.485728;-0.158247;-0.327533;-0.237692;-0.284214;0.521851;-0.418378;-0.233056;0.651280;-0.000202;-0.000057;0.000259;-0.386211;-0.040814;0.426995;-0.958876;-0.096374;1.055069;-0.991482;0.071948;0.919510;-1.361193;0.186970;1.174095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
30000;13700.883941;-134.334127;314.050995;0.999992;1.838958;1.838949;0.835852;1989.660604;-72.990800;314.052638;0.999993;2.360228;2.360000;0.850002;298.503036;-5.917599;314.052555;0.999999;1.809681;1.809727;0.850002;11462.587808;80.595495;314.053934;0.999984;1.646038;1.646447;0.700029;701.916096;-65.342026;314.052448;0.999997;1.039233;1.039236;0.600802;0.000000;0.000000;0.000000;0.000000;19.095532;6.908826;0.002428;0.002428;0.891230;32.401011;-44.326500;356.913017;-166.149000;198.832936;-76.817860;198.028844;-53.828137;196.280706;19.535139;198.689111;-76.642230;265.809697;-41.261109;-0.000065;-0.000543;190.897990;-22.426141;472.826465;-53.598638;450.809209;0.151481;600.522620;37.447819;49.968063;49.982781;49.981222;0.988851;3.096911;15.565255;13.581292;8.553603;3.911173;9.387031;-1.980439;-29.735784;-29.519406;35.170876;-31.367979;-27.016715;56.682881;195.444274;63.933945;-259.392336;199.677960;59.699894;-259.400094;212.291847;45.911973;-258.217375;237.145490;5.022662;-242.172331;241.926040;-13.618460;-228.323748;256.247793;-57.131622;-199.126882;237.565480;-4.236508;-233.342201;3.432507;12.109570;-15.542694;3.443411;1.016192;-4.459890;-0.015637;0.124208;-0.108730;0.366838;0.593437;-0.962559;0.238097;0.284187;-0.522403;0.292618;0.201122;-0.493866;-0.485862;0.158669;0.327110;0.238081;0.283712;-0.521884;0.418824;0.232345;-0.651324;0.000202;0.000057;-0.000259;0.386457;0.040304;-0.426817;0.959525;0.095101;-1.054697;0.991946;-0.073129;-0.918909;1.361703;-0.188547;-1.173281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
40000;13700.883941;-134.334127;314.050995;0.999992;1.838958;1.838949;0.835852;1989.660604;-72.990800;314.052638;0.999993;2.360228;2.360000;0.850002;298.479914;-5.893969;314.052555;0.999983;1.809681;1.809338;0.850002;11462.587808;80.595495;314.053934;0.999984;1.646038;1.646336;0.700029;701.916096;-65.342026;314.052448;0.999997;1.039233;1.039236;0.600802;0.000000;0.000000;0.000000;0.000000;19.095532;6.908826;0.002428;0.002428;0.891230;32.393179;-44.326500;356.913017;-166.149000;198.832936;-76.817860;198.028844;-53.828137;196.280706;19.535139;198.689111;-76.643400;265.809697;-41.261109;-0.000065;-0.000543;190.897990;-22.423162;472.826465;-53.598638;450.809209;0.151481;600.522620;37.447819;49.968063;49.982781;49.981222;0.988851;3.096911;15.565255;13.581292;8.553603;3.911173;9.387031;-1.980439;-29.735784;-29.519406;35.170876;-31.367979;-27.016715;56.682881;-195.646055;-63.668359;259.302113;-199.881704;-59.439757;259.305646;-212.477580;-45.637037;258.105110;-237.295367;-4.742833;242.029233;-242.070760;13.899178;228.154641;-256.337973;57.399308;198.933070;-237.706919;4.505671;233.191495;-3.449291;-12.098437;15.547369;-3.446869;-1.011557;4.458117;0.015487;-0.124320;0.108743;-0.369814;-0.594355;0.961823;-0.238673;-0.283762;0.522345;-0.293119;-0.200763;0.493722;0.485887;-0.159199;-0.326744;-0.238666;-0.283298;0.521900;-0.419490;-0.231818;0.651034;-0.000202;-0.000057;0.000259;-0.386774;-0.039836;0.426585;-0.960206;-0.093943;1.054043;-0.992490;0.074225;0.918230;-1.362388;0.189988;1.172304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
50000;13700.883941;-134.334127;314.050995;0.999992;1.838958;1.838949;0.835852;1989.660604;-72.990800;314.052638;0.999993;2.360228;2.360000;0.850002;298.503036;-5.917599;314.052555;0.999999;1.809681;1.809650;0.850002;11462.587808;80.595495;314.053934;0.999984;1.646081;1.646336;0.700029;701.916096;-65.342026;314.052448;0.999997;1.039233;1.039236;0.600802;0.000000;0.000000;0.000000;0.000000;19.095532;6.908826;0.002428;0.002428;0.891230;32.401011;-44.326500;356.913017;-166.149000;198.832936;-76.817860;198.028844;-53.828137;196.280706;19.535139;198.689111;-76.642230;265.809697;-41.261109;-0.000065;-0.000543;190.897990;-22.426141;472.826465;-53.598638;450.809209;0.151481;600.522620;37.447819;49.968063;49.982781;49.981222;0.988851;3.096911;15.565255;13.581292;8.553603;3.911173;9.387031;-1.980439;-29.735784;-29.519406;35.170876;-31.367979;-27.016715;56.682881;195.832765;63.390883;-259.236933;200.064506;59.150587;-259.228780;212.659136;45.350212;-258.017351;237.432927;4.446405;-241.894819;242.186440;-14.183414;-228.009837;256.417903;-57.675107;-198.753428;237.837440;-4.798819;-233.051931;3.465399;12.086771;-15.553160;3.449973;1.006817;-4.456894;-0.015408;0.124098;-0.108894;0.369290;0.592282;-0.963521;0.239103;0.283252;-0.522481;0.293411;0.200165;-0.493707;-0.486099;0.159622;0.326320;0.239054;0.282796;-0.521983;0.419812;0.231108;-0.651079;0.000202;0.000056;-0.000258;0.387020;0.039327;-0.426407;0.960855;0.092670;-1.053598;0.992953;-0.075406;-0.917629;1.362898;-0.191565;-1.171404;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
60000;13700.883941;-134.334127;314.050995;0.999992;1.838958;1.838949;0.835852;1989.660604;-72.990800;314.052638;0.999993;2.360228;2.360000;0.850002;298.479914;-5.893969;314.052555;0.999983;1.809599;1.809260;0.850002;11462.587808;80.595495;314.053934;0.999984;1.646081;1.646226;0.700029;701.916096;-65.342026;314.052448;0.999997;1.039233;1.039138;0.600802;0.000000;0.000000;0.000000;0.000000;19.095532;6.908826;0.002428;0.002428;0.891230;32.393179;-44.326500;356.913017;-166.149000;198.832936;-76.817860;198.028844;-53.828137;196.280706;19.535139;198.689111;-76.643400;265.809697;-41.261109;-0.000065;-0.000543;190.897990;-22.423162;472.826465;-53.598638;450.809209;0.151481;600.522620;37.447819;49.968063;49.982781;49.981222;0.988851;3.096911;15.565255;13.581292;8.553603;3.911173;9.387031;-1.980439;-29.735784;-29.519406;35.170876;-31.367979;-27.016715;56.682881;-196.034546;-63.125297;259.146710;-200.259660;-58.881867;259.134332;-212.844869;-45.075275;257.905086;-237.591786;-4.166576;241.742151;-242.322480;14.455441;227.849450;-256.508083;57.942792;198.559616;-237.978879;5.067982;232.901226;-3.482681;-12.076134;15.557835;-3.453289;-1.002182;4.455264;0.015143;-0.124210;0.108907;-0.371039;-0.592044;0.961823;-0.239602;-0.282905;0.522423;-0.293912;-0.199805;0.493642;0.486124;-0.160231;-0.326034;-0.239640;-0.282381;0.521949;-0.420477;-0.230581;0.650911;-0.000202;-0.000056;0.000258;-0.387307;-0.038888;0.426145;-0.961610;-0.091511;1.053017;-0.993497;0.076502;0.916949;-1.363583;0.193006;1.170427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
70000;13700.883941;-134.334127;314.050995;0.999992;1.838958;1.838949;0.835852;1989.660604;-72.990800;314.052638;0.999993;2.360228;2.360000;0.850002;298.503036;-5.917599;314.052555;0.999999;1.809599;1.809650;0.850002;11462.587808;80.595495;314.053934;0.999984;1.646081;1.646115;0.700029;701.916096;-65.342026;314.052448;0.999997;1.039233;1.039138;0.600802;0.000000;0.000000;0.000000;0.000000;19.095532;6.908826;0.002427;0.002427;0.891230;32.401011;-44.326500;356.913017;-166.149000;198.832936;-76.817860;198.028844;-53.828137;196.280706;19.535139;198.689111;-76.642230;265.809697;-41.261109;-0.000065;-0.000543;190.897990;-22.426141;472.826465;-53.598638;450.809209;0.151481;600.522620;37.447819;49.968063;49.982781;49.981222;0.988851;3.096911;15.565255;13.581292;8.553603;3.911173;9.387031;-1.980439;-29.735784;-29.519406;35.170876;-31.367979;-27.016715;56.682881;196.221257;62.847822;-259.072895;200.442462;58.601279;-259.057466;213.017680;44.788450;-257.817327;237.729346;3.870148;-241.617307;242.438160;-14.748369;-227.704646;256.588014;-58.218592;-198.379973;238.109401;-5.361130;-232.761661;3.498290;12.063972;-15.563625;3.456535;0.997300;-4.454040;-0.015065;0.123989;-0.109057;0.370515;0.591126;-0.963521;0.240031;0.282395;-0.522481;0.294284;0.199287;-0.493627;-0.486258;0.160654;0.325531;0.240028;0.281879;-0.522032;0.420923;0.229746;-0.650833;0.000203;0.000056;-0.000258;0.387583;0.038349;-0.425967;0.962259;0.090239;-1.052572;0.993961;-0.077683;-0.916348;1.364092;-0.194672;-1.169528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
80000;13700.883941;-134.334127;314.050995;0.999992;1.838958;1.838949;0.835852;1989.660604;-72.990800;314.052638;0.999993;2.360228;2.360000;0.850002;298.479914;-5.893969;314.052555;0.999983;1.809599;1.809260;0.850002;11462.587808;80.595495;314.053934;0.999984;1.646081;1.646004;0.700029;701.916096;-65.342026;314.052448;0.999997;1.039233;1.039138;0.600802;0.000000;0.000000;0.000000;0.000000;19.095532;6.908826;0.002427;0.002427;0.891230;32.393179;-44.326500;356.913017;-166.149000;198.832936;-76.817860;198.028844;-53.828137;196.280706;19.535139;198.689111;-76.643400;265.809697;-41.261109;-0.000065;-0.000543;190.897990;-22.423162;472.826465;-53.598638;450.809209;0.151481;600.522620;37.447819;49.968063;49.982781;49.981222;0.988851;3.096911;15.565255;13.581292;8.553603;3.911173;9.387031;-1.980439;-29.735784;-29.519406;35.170876;-31.367979;-27.016715;56.682881;-196.423038;-62.582235;258.991306;-200.646206;-58.332559;258.963017;-213.203413;-44.513514;257.705063;-237.888205;-3.590319;241.464639;-242.574200;15.020395;227.544260;-256.678194;58.486277;198.177674;-238.250839;5.630293;232.602160;-3.515572;-12.053335;15.567802;-3.459851;-0.992665;4.452268;0.014914;-0.124101;0.109070;-0.373491;-0.590889;0.962784;-0.240608;-0.281970;0.522423;-0.294705;-0.198847;0.493483;0.486282;-0.161184;-0.325244;-0.240553;-0.281522;0.521999;-0.421589;-0.229219;0.650665;-0.000203;-0.000055;0.000258;-0.387871;-0.037910;0.425734;-0.962940;-0.089080;1.051991;-0.994505;0.078779;0.915669;-1.364778;0.196113;1.168550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
90000;13700.883941;-134.334127;314.050995;0.999992;1.838958;1.838949;0.835852;1989.660604;-72.990800;314.052638;0.999993;2.360228;2.360000;0.850002;298.503036;-5.917599;314.052555;0.999999;1.809599;1.809650;0.850002;11462.587808;80.595495;314.053934;0.999984;1.646081;1.646004;0.700029;701.916096;-65.342026;314.052448;0.999997;1.039233;1.039138;0.600802;0.000000;0.000000;0.000000;0.000000;19.095532;6.908826;0.002427;0.002427;0.891230;32.401011;-44.326500;356.913017;-166.149000;198.832936;-76.817860;198.028844;-53.828137;196.280706;19.535139;198.689111;-76.642230;265.809697;-41.261109;-0.000065;-0.000543;190.897990;-22.426141;472.826465;-53.598638;450.809209;0.151481;600.522620;37.447819;49.968063;49.982781;49.981222;0.988851;3.096911;15.565255;13.581292;8.553603;3.911173;9.387031;-1.980439;-29.735784;-29.519406;35.170876;-31.367979;-27.016715;56.682881;196.601116;62.304760;-258.917492;200.820418;58.051972;-258.894717;213.376224;44.217628;-257.608607;238.025765;3.304182;-241.339795;242.698560;-15.313324;-227.399455;256.749619;-58.762076;-197.998031;238.381361;-5.923441;-232.471392;3.531680;12.041173;-15.573593;3.462954;0.987782;-4.451044;-0.014836;0.123879;-0.109221;0.372967;0.588815;-0.963521;0.240960;0.281459;-0.522559;0.295077;0.198329;-0.493468;-0.486495;0.161606;0.324742;0.241002;0.281019;-0.522081;0.421911;0.228508;-0.650587;0.000203;0.000055;-0.000258;0.388147;0.037401;-0.425556;0.963589;0.087807;-1.051546;0.994969;-0.079960;-0.915068;1.365195;-0.197691;-1.167651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
